Kunta,All,Foreign
Akaa,552,14
Alajärvi,371,16
Alavieska,103,4
Alavus,466,14
Asikkala,251,5
Askola,211,6
Aura,210,3
Enonkoski,37,1
Enontekiö,36,3
Espoo,16928,4959
Eura,356,21
Eurajoki,343,11
Evijärvi,81,1
Forssa,529,105
Haapajärvi,241,7
Haapavesi,257,12
Hailuoto,24,0
Halsua,28,4
Hamina,614,60
Hankasalmi,109,1
Hanko,228,8
Harjavalta,239,12
Hartola,53,3
Hattula,369,6
Hausjärvi,291,9
Heinola,425,37
Heinävesi,44,4
Helsinki,30870,7313
Hirvensalmi,48,3
Hollola,949,44
Huittinen,338,26
Humppila,76,2
Hyrynsalmi,47,0
Hyvinkää,1898,239
Hämeenkyrö,440,6
Hämeenlinna,2700,308
Ii,479,2
Iisalmi,751,55
Iitti,233,2
Ikaalinen,196,18
Ilmajoki,724,11
Ilomantsi,68,4
Imatra,543,44
Inari,210,16
Inkoo,189,8
Isojoki,44,6
Isokyrö,121,4
Janakkala,699,32
Joensuu,2923,290
Jokioinen,174,7
Joroinen,157,15
Joutsa,105,3
Juuka,84,7
Juupajoki,54,0
Juva,149,8
Jyväskylä,6263,578
Jämijärvi,53,2
Jämsä,490,34
Järvenpää,2271,219
Kaarina,2118,138
Kaavi,44,1
Kajaani,1222,148
Kalajoki,573,27
Kangasala,1769,54
Kangasniemi,156,6
Kankaanpää,429,51
Kannonkoski,37,0
Kannus,200,3
Karijoki,29,2
Karkkila,257,33
Karstula,88,7
Karvia,56,6
Kaskinen,41,17
Kauhajoki,356,23
Kauhava,492,43
Kauniainen,605,85
Kaustinen,167,7
Keitele,58,0
Kemi,479,40
Kemijärvi,190,13
Keminmaa,311,5
Kemiönsaari,200,10
Kempele,1331,6
Kerava,1850,482
Keuruu,262,17
Kihniö,35,0
Kinnula,71,0
Kirkkonummi,2204,313
Kitee,234,31
Kittilä,292,18
Kiuruvesi,320,10
Kivijärvi,34,1
Kokemäki,217,7
Kokkola,2334,187
Kolari,161,4
Konnevesi,72,2
Kontiolahti,786,7
Korsnäs,68,14
Koski Tl,76,1
Kotka,1661,237
Kouvola,2589,196
Kristiinankaupunki,220,30
Kruunupyy,276,10
Kuhmo,163,7
Kuhmoinen,43,1
Kuopio,5360,464
Kuortane,108,4
Kurikka,705,20
Kustavi,17,1
Kuusamo,465,20
Kyyjärvi,31,1
Kärkölä,77,2
Kärsämäki,98,1
Lahti,4768,592
Laihia,290,8
Laitila,295,51
Lapinjärvi,75,7
Lapinlahti,288,10
Lappajärvi,0,0
Lappeenranta,2601,304
Lapua,601,45
Laukaa,1039,15
Lemi,98,1
Lempäälä,1106,29
Leppävirta,326,12
Lestijärvi,13,1
Lieksa,221,36
Lieto,1130,49
Liminka,713,6
Liperi,524,12
Lohja,1735,140
Loimaa,543,45
Loppi,286,14
Loviisa,497,28
Luhanka,10,0
Lumijoki,100,8
Luoto,373,12
Luumäki,131,14
Maalahti,287,18
Marttila,79,1
Masku,505,17
Merijärvi,23,0
Merikarvia,99,3
Miehikkälä,41,3
Mikkeli,1928,156
Muhos,426,5
Multia,37,3
Muonio,69,0
Mustasaari,1095,25
Muurame,514,8
Mynämäki,333,21
Myrskylä,46,2
Mäntsälä,915,59
Mänttä-Vilppula,251,17
Mäntyharju,117,7
Naantali,813,32
Nakkila,155,3
Nivala,438,6
Nokia,1805,62
Nousiainen,240,4
Nurmes,265,8
Nurmijärvi,2259,243
Närpiö,378,124
Orimattila,638,23
Oripää,49,5
Orivesi,293,5
Oulainen,213,7
Oulu,10367,843
Outokumpu,173,26
Padasjoki,47,1
Paimio,611,28
Paltamo,93,4
Parainen,677,36
Parikkala,97,1
Parkano,207,12
Pedersören kunta,659,23
Pelkosenniemi,30,2
Pello,80,2
Perho,114,2
Pertunmaa,37,1
Petäjävesi,181,2
Pieksämäki,541,70
Pielavesi,79,1
Pietarsaari,824,224
Pihtipudas,84,3
Pirkkala,910,37
Polvijärvi,139,1
Pomarkku,72,0
Pori,3023,215
Pornainen,229,5
Porvoo,2427,248
Posio,21,0
Pudasjärvi,206,5
Pukkila,47,1
Punkalaidun,51,0
Puolanka,45,5
Puumala,39,1
Pyhtää,65,3
Pyhäjoki,92,2
Pyhäjärvi,146,9
Pyhäntä,88,6
Pyhäranta,83,1
Pälkäne,171,5
Pöytyä,305,18
Raahe,890,54
Raasepori,1173,71
Raisio,1224,206
Rantasalmi,71,5
Ranua,128,2
Rauma,1424,170
Rautalampi,75,6
Rautavaara,19,0
Rautjärvi,63,17
Reisjärvi,88,0
Riihimäki,1024,107
Ristijärvi,33,2
Rovaniemi,3257,197
Ruokolahti,112,3
Ruovesi,109,10
Rusko,436,15
Rääkkylä,17,2
Saarijärvi,258,10
Salla,28,0
Salo,1786,248
Sastamala,740,28
Sauvo,107,8
Savitaipale,84,4
Savonlinna,838,60
Savukoski,30,1
Seinäjoki,3241,233
Sievi,200,0
Siikainen,21,0
Siikajoki,166,4
Siikalatva,111,2
Siilinjärvi,1140,16
Simo,66,1
Sipoo,976,64
Siuntio,237,20
Sodankylä,238,4
Soini,54,1
Somero,272,30
Sonkajärvi,105,0
Sotkamo,161,17
Sulkava,63,1
Suomussalmi,157,17
Suonenjoki,176,2
Sysmä,35,0
Säkylä,78,10
Taipalsaari,176,10
Taivalkoski,107,1
Taivassalo,62,5
Tammela,223,5
Tampere,10198,1580
Tervo,20,1
Tervola,115,4
Teuva,148,3
Tohmajärvi,101,1
Toholampi,90,3
Toivakka,3,0
Tornio,900,39
Turku,7922,1893
Tuusniemi,47,2
Tuusula,1957,203
Tyrnävä,430,2
Ulvila,477,15
Urjala,130,4
Utajärvi,88,10
Utsjoki,29,0
Uurainen,175,1
Uusikaarlepyy,335,39
Uusikaupunki,458,95
Vaala,72,6
Vaasa,2975,574
Valkeakoski,820,59
Vantaa,12602,4361
Varkaus,639,60
Vehmaa,69,4
Vesanto,28,0
Vesilahti,238,3
Veteli,80,7
Vieremä,81,6
Vihti,1290,116
Viitasaari,150,4
Vimpeli,0,0
Virolahti,72,2
Virrat,187,13
Vöyri,280,35
Ylitornio,101,10
Ylivieska,767,14
Ylöjärvi,1884,51
Ypäjä,65,6
Ähtäri,170,10
Äänekoski,587,21
